Benchmark,Result
benchmarks/random_control/arbiter.aig,Fail
benchmarks/random_control/cavlc.aig,Fail
benchmarks/random_control/ctrl.aig,Fail
benchmarks/random_control/dec.aig,Fail
benchmarks/random_control/i2c.aig,Fail
benchmarks/random_control/int2float.aig,Fail
benchmarks/random_control/mem_ctrl.aig,Fail
benchmarks/random_control/priority.aig,Fail
benchmarks/random_control/router.aig,Fail
benchmarks/arithmetic/adder.aig,Fail
benchmarks/arithmetic/bar.aig,Fail
benchmarks/arithmetic/max.aig,Fail
benchmarks/arithmetic/sin.aig,Fail
Score,0
